Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Ernst, J. A.",35227163500,1600,"Physics and Astronomy
Mathematics
Engineering
Computer Science
Energy
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
",,
"Jain, Vivek",35225796500,1429,"Physics and Astronomy
Engineering
Mathematics
Energy
Computer Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
",,
"Alam, M. S.",57218967548,1217,"Physics and Astronomy
Mathematics
Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Chemistry
",,
"Wappler, F. R.",35228212600,519,"Physics and Astronomy
Mathematics
Engineering
",,
"Carpenter, David O.",7201795413,505,"Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Agricultural and Biological Sciences
Multidisciplinary
Chemistry
Arts and Humanities
Psychology
Physics and Astronomy
Immunology and Microbiology
Health Professions
Computer Science
Mathematics
Chemical Engineering
Earth and Planetary Sciences
Energy
Nursing
Engineering
Materials Science
",,
"Swift, S. P.",57193252255,426,"Physics and Astronomy
Engineering
Mathematics
Computer Science
",,
"Fischer, A.",24398999400,424,"Physics and Astronomy
Engineering
Mathematics
Medicine
",,
"Bouffard, J.",56073616600,420,"Physics and Astronomy
Engineering
Mathematics
",,
"Frisch, Harry L.",7202829022,415,"Materials Science
Physics and Astronomy
Chemistry
Engineering
Mathematics
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
Medicine
Multidisciplinary
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Neuroscience
",,
"Blanchard, Edward B.",35495436800,385,"Psychology
Medicine
Agricultural and Biological Sciences
Neuroscience
Arts and Humanities
Social Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Economics, Econometrics and Finance
",,
"Edson, W.",55337020900,374,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
",,
"Das, Tara Prasad",7201461285,331,"Physics and Astronomy
Materials Science
Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Mathematics
Engineering
",,
"Zain, S. B.",35228198500,329,"Physics and Astronomy
Mathematics
Engineering
",,
"Hannan, Edward L.",7005779022,302,"Medicine
Decision Sciences
Business, Management and Accounting
Nursing
Social Sciences
Mathematics
Health Professions
Computer Science
Biochemistry, Genetics and Molecular Biology
Engineering
Economics, Econometrics and Finance
Neuroscience
Psychology
",,
"Frye, Cheryl Anne",7103032764,299,"Neuroscience
Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Psychology
Social Sciences
Arts and Humanities
Agricultural and Biological Sciences
Environmental Science
Nursing
Chemistry
",,
"Holtgrave, David Robert",7005125315,294,"Medicine
Psychology
Immunology and Microbiology
Social Sciences
Health Professions
Nursing
Environmental Science
Arts and Humanities
Engineering
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Mathematics
Decision Sciences
Multidisciplinary
Chemistry
",0000-0002-4321-7395,
"Pan, B.",35227719500,292,"Physics and Astronomy
Mathematics
Engineering
",,
